Open Schools - Independent School Roles and Responsibilities - 4/17/25,,,,
In alphabetical order by role,,,,
(MAKE A COPY BEFORE COMPLETING),,,,
Role,Purpose,Role Holder,Accountabilities,Frequency
,,,,(approx - Edit)
Admissions & Enrollment,"Ensures the school is fully enrolled by the first day and that the enrollment process is smooth, accessible, and family-friendly",,Oversees student recruitment efforts.,Ongoing/ Annual
,,,Plans and leads school tours and open houses.,Ongoing/ Annual
,,,Coordinates and finalizes enrollment decisions.,Ongoing/ Annual
,,,Oversees collection and processing of registration paperwork.,Ongoing/ Annual
,,,"Oversees financial aid decisions and tiered tuition processes. Manages related vendors (e.g., FAST, TADS)",Ongoing/ Annual
,,,Manages partnerships with local early childhood education placement agencies.,Ongoing/ Annual
,,,"Maintains and updates the school’s enrollment strategy documentation and reviews with the board, annually.",Annual
,,,"Maintains documentation for approach to tuition and tiered tuition/financial aid and reviews with the board, annually.",Annual
,,,Tracks long-term enrollment trends and advises school in adjusting recruitment accordingly,Annual
,,,Manages summer school enrollment,Annual
,,,,
Assessment Coordinator,Complies with applicable assessment requirements and uses data to inform instruction,,Maintains assessment calendar.,Annual
,,,Oversees student assessment processes and trains staff in implementation,Annual
,,,Coordinates the review and interpretation of student assessment data,Annual
,,,,
Board,Supports development and sustainability of an effective independent school board,,"Supports board meeting prep: agendas, packets, minutes",Quarterly
,,,"Provides regular updates to the board on the school’s mission, vision, goals, and metrics",Quarterly
,,,Drafts board resolutions for review and approval,Quarterly
,,,Maintains board archives,Quarterly
,,,(See Board accountabilities for roles that sit with a board and may be filled by a TL),
,,,,
Communications and Marketing,"Ensures that prospective families, staff, and the broader community are informed about the school. Maintains the school’s brand identity",,Manages the school’s social media accounts.,Weekly
,,,Manages and updates the school website.,Ongoing/ Annual
,,,"Updates and monitors external school review sites (e.g., Google Reviews, GreatSchools).",Weekly
,,,"Promotes the school through enrollment, summer programs, and fundraising campaigns.",Weekly
,,,Prepares and distributes the school newsletter.,Monthly
,,,Oversees branding consistency in public-facing materials,Weekly
,,,,
Compliance,Ensures the school remains compliant with all legal and regulatory requirements,,"Maintains business licenses, charitable registrations, and official organizational documents",Ongoing/ Annual
,,,,
Curriculum + Program Design,"Ensures the school implements an authentic, high-quality Montessori program",,Oversees staff professional development planning and tracking.,Ongoing/ Annual
,,,Plans and facilitates regular staff meetings.,Monthly
,,,"Orders replacement materials, furniture, and classroom supplies.",Monthly
,,,Designs and coordinates summer school programming.,Annual
,,,Ensures compliance with state education standards (if applicable),Ongoing/ Annual
,,,,
Data Coordinator,Ensures student records and information systems are properly maintained and up to date,,"Manages student records such as enrollment and academic data using SIS (e.g. Transparent Classroom, Power School, Infinite Campus, etc.).",Weekly
,,,"Maintains student forms required for licensure (e.g., emergency contacts, immunization records).",Ongoing/ Annual
,,,Collects and updates family contact information.,Ongoing/ Annual
,,,Develops and maintains data privacy policies.,Annual
,,,,
Equity Steward,Ensures school practices are aligned with the Wildflower equity principle and promotes inclusion and fairness throughout the community,,Stewards equity policies and practices for the school,Ongoing
,,,,
Facility,"Ensures the school environment is safe, well-maintained, and secure",,Maintains regular communication with the landlord,Ongoing
,,,Oversees lease renewal process,Annual
,,,Manages facility maintenance and repairs,Ongoing
,,,Oversees cleaning,Weekly
,,,Ensures all required permits are current and inspections are completed on time,Ongoing/ Annual
,,,"Oversees facility-related vendors (e.g., utilities, waste management, landscaping)",Monthly
,,,Orders and restocks office supplies and paper goods,Monthly
,,,,
Family Engagement,"Ensures that families feel welcomed, informed, and engaged in the school community",,Maintains and publishes the school calendar,Annual
,,,Welcomes new families to the school,Ongoing/ Annual
,,,Plans and hosts family events (educational and celebratory),Monthly
,,,Schedules and coordinates regular family conferences,Quarterly
,,,Coordinates family volunteer activities,Quarterly
,,,Coordinates family surveys and feedback loops,Annual
,,,Engages with alumni and the broader community,Quarterly
,,,,
Finance,Ensures the school is financially sustainable and in compliance with fiscal regulations,,"Oversees the bookkeeper, accountant, and any related systems (e.g., QuickBooks, Bill.com)",Weekly
,,,Creates and monitors the budget,Ongoing/ Annual
,,,Manages the cash flow forecast,Monthly
,,,Prepares financial reports for the board,Quarterly
,,,"Oversees banking operations, including bank accounts and credit cards (as applicable)",Weekly
,,,Oversees the bill payment process,Weekly
,,,"Oversees revenue collection, including tuition and state subsidies",Weekly
,,,Processes payroll and manages the relationship with the payroll vendor. Ensures 1099s and W-2s are issued annually,Ongoing  
,,,Oversees loan payments and reporting,Quarterly
,,,"Files required nonprofit financial reports (e.g., annual 990, quarterly 941)",Annual
,,,Issues 1099s to contractors,Annual
,,,"Manages petty cash, if applicable",Weekly
,,,Maintains and updates fiscal policies as needed,Annual
,,,,
Food Program,Ensures that snacks and meals are provided to students when offered and meet program standards,,Manages relationships with meal and snack vendors,Weekly
,,,Purchases food and kitchen supplies,Weekly
,,,Submits documentation for food reimbursement programs,Monthly
,,,,
Fundraising,Ensures the school secures the philanthropic and donor support necessary for long-term financial sustainability,,Leads fundraising efforts and manages donor relationships,Ongoing/ Annual
,,,Issues donor acknowledgments and tax-compliant gift receipts,Ongoing 
,,,"Monitors and tracks the use of restricted funds, when applicable",Monthly
,,,,
Human Resources,"Ensures the school is appropriately staffed, complies with HR regulations, and provides fair and equitable compensation and benefits",,Recruits staff members and oversees hiring process,Ongoing/ Annual
,,,"Ensures staff files are up to date (background checks, admin certifications, contracts)",Annual
,,,Maintains employee handbook and ensures policy compliance,Annual
,,,"Selects and manages staff benefits (e.g., health insurance, retirement plans)",Annual
,,,Maintains the compensation policy and reviews it with the board periodically,Annual
,,,Manages employee relations and ensures compliance with labor laws,Weekly
,,,Manages relationships with extracurricular and afterschool program vendors,Weekly
,,,,
Legal/ Risk Management,"Ensures the school is protected by appropriate legal, insurance, and risk management practices",,Secures and maintains school insurance policies,Annual
,,,Consults legal counsel when necessary,Ongoing
,,,"Creates and manages release of liability forms (e.g., field trip forms)",Ongoing/ Annual
,,,,
Licensing,"Ensures the school meets and maintains all licensing requirements, if applicable",,Maintains ongoing communication with the licensing office,Ongoing/ Annual
,,,"Ensures compliance with annual licensing requirements (e.g., training hours, student-to-staff ratios)",Ongoing/ Annual
,,,,
"Student Health, Wellness and Safety","Ensures a safe, healthy environment that supports student wellness and well-being",,Maintains student and family handbook.,Annual
,,,Maintains safety plans emergency operating procedures.,Annual
